round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_auroc,fed_f1,fed_brier,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
41.0,0.6349231330425843,1.3578652809851028,88.33536,88.33536,0.5412350858791136,0.349273382429641,0.32499047171872136,0.7014457341468949,0.2914155793733305,0.2195987159403339,0.2713375832227934,0.11416703379696647,0.5751032510535429,2.386900438439075,0.353918019150363,0.08226699587841839,0.7222991343828081,0.20441914057204827,0.2045002711006687,0.4908371567726135,0.4312479622447201,0.28940209205954365,0.11389601892395189,0.003424780813471878,0.8201069437200204,,0.003424780813471878
42.0,0.6066397759087965,1.362128824298855,90.3168,90.3168,0.5412350858791136,0.33369143569257426,0.33663837249257245,0.7158973185525993,0.31037741812069525,0.20986825949742155,0.2858453539180558,0.11416703379696647,0.5578552739789318,2.533896363159057,0.3584631419339478,0.08275006782006258,0.7265404761453043,0.20441914057204827,0.2045002711006687,0.49206870794296265,0.4318082386218966,0.2901306556652405,0.11389601892395189,0.0038228117200218574,0.9369278538506478,,0.0038228117200218574
43.0,0.5865843810562288,1.2926330925135587,92.29824,92.29824,0.5412350858791136,0.3249800914997654,0.34799405367370134,0.7295579994158018,0.3227062786482991,0.201682860495906,0.3037605788293664,0.11416703379696647,0.5491676452484145,2.702076683360032,0.3659100744438497,0.08357947912112051,0.7338226560572442,0.2045002711006687,0.2045002711006687,0.5147808790206909,0.4324927134424818,0.290338363117593,0.11389601892395189,0.004043316462762152,1.0199405774474144,,0.004043316462762152
44.0,0.5760943579357053,1.9425263491554614,94.27968,94.27968,0.5412350858791136,0.33046379696957,0.3511342412794993,0.7391807828042186,0.322116877987538,0.20662234058307327,0.3166364929477623,0.11416703379696647,0.5756506568700239,2.8337907162703204,0.360124827388566,0.08296043118233346,0.7283874534519591,0.2045002711006687,0.2045002711006687,0.5005162358283997,0.43382726145700207,0.2916858012347138,0.11389601892395189,0.0045341957103008914,1.1768861246528104,,0.0045341957103008914
45.0,0.6422171517316928,1.9843480971852003,95.9488,95.9488,0.4559241291901578,0.3557260668536957,0.3132990652686864,0.6863579476878354,0.28787303421703697,0.2261957850766936,0.2528735847227375,0.11416703379696647,0.5629237587943808,2.208382858538865,0.36038376022636,0.08290077521280513,0.7278636777301039,0.2045002711006687,0.2045002711006687,0.5004991292953491,0.43396089810346866,0.29182795357629315,0.11389601892395189,0.0062561140106457665,0.529816429130733,0.0062561140106457665,
46.0,0.6363694140598186,1.8659702803736373,97.93024,97.93024,0.5412350858791136,0.34847934105041933,0.32580389615179767,0.7088109945190264,0.30178497335251847,0.21913794449536805,0.27438911949095207,0.11416703379696647,0.5754798774197357,2.4189069679203272,0.36791223907368176,0.08374354441395288,0.7352631391784488,0.2045002711006687,0.20452799493876814,0.5143865942955017,0.43277346661276966,0.29052404650220176,0.11389601892395189,0.003303068752902187,0.8822198426350951,,0.003303068752902187
47.0,0.6122810142769084,1.4995209454234084,99.91168,99.91168,0.5412350858791136,0.32264539914977514,0.34192520945215804,0.721604998336281,0.31522684092263825,0.2005586913682621,0.2908125787543205,0.11416703379696647,0.5460861828484135,2.584519198274244,0.35828416165320254,0.08262323503046698,0.7254268920991376,0.2045002711006687,0.2045002711006687,0.5049538016319275,0.4351699869983947,0.29311088016137204,0.11389601892395189,0.003796351763629714,1.036758147762157,,0.003796351763629714
48.0,0.5866548336950933,1.7075175346479075,101.89312,101.89312,0.5412350858791136,0.3177307669999421,0.35146737872228945,0.7330783427059122,0.32370384998479024,0.19742998481019444,0.30898760499200034,0.11416703379696647,0.5513400439649168,2.756187535027958,0.38239379185650013,0.0854092929611856,0.7498883083719826,0.2045002711006687,0.2045002711006687,0.5153301954269409,0.43612820571523303,0.29367460265568596,0.11389601892395189,0.0045313492209845254,1.2696247432613745,,0.0045313492209845254
49.0,0.5699155533938061,2.236390119010129,103.87456,103.87456,0.5412350858791136,0.3378029364924539,0.3657425080784237,0.7464036108524879,0.3227846347719905,0.20988187650135465,0.32310146548077284,0.11416703379696647,0.5972587506303975,2.8908149699880523,0.37999674617815227,0.0852502816149546,0.7484921985892765,0.2045002711006687,0.2045002711006687,0.5153017044067383,0.43637065911390227,0.29396218868779844,0.11389601892395189,0.005078208740944029,1.471561740618199,,0.005078208740944029
50.0,0.6393380049900972,2.5548409391425735,107.52512,107.52512,0.9971592150692714,0.3326848517892702,0.3109840036193983,0.6852383918205333,0.2928960132194844,0.21036718702538465,0.2551174744593515,0.11416703379696647,0.5734049544789671,2.227219680670821,0.36705443384930486,0.08359686712030842,0.7339753216144091,0.2045002711006687,0.20451875282422052,0.5126120448112488,0.4363517851166915,0.29429562293961886,0.11389601892395189,0.003867711064351127,1.5003084690542892,0.005393451824108809,0.0034012267453525195
51.0,0.6398745115787683,2.995088367957554,109.50656,109.50656,0.5412350858791136,0.3407465176534573,0.3281283345184432,0.7080918368948979,0.30073125250797694,0.21318404839391167,0.27416056829192886,0.11416703379696647,0.5681142568291904,2.4101138423762296,0.3732604514720481,0.08427295826394554,0.7399113600293123,0.2045002711006687,0.20451875282422052,0.5163350701332092,0.43865658461258605,0.2961839531003087,0.11389601892395189,0.003287003017739218,0.9910707746166736,,0.003287003017739218
